Area,Item,temp (C),rain (mm),yield (t/ha),Year,pesticides_tonnes
Albania,Potatoes,16.52,1485.0,23.1111,2010,1311.17
Albania,Soybeans,16.52,1485.0,1.6667,2010,1311.17
Albania,Wheat,16.52,1485.0,3.9905,2010,1311.17
Albania,Maize,16.45,1485.0,5.9869,2011,1302.63
Albania,Potatoes,16.45,1485.0,24.2211,2011,1302.63
Albania,Soybeans,16.45,1485.0,1.8519,2011,1302.63
Albania,Wheat,16.45,1485.0,4.2301,2011,1302.63
Albania,Maize,16.7,1485.0,6.729,2012,766.25
Albania,Potatoes,16.7,1485.0,25.0538,2012,766.25
Albania,Soybeans,16.7,1485.0,1.3333,2012,766.25
Albania,Wheat,16.7,1485.0,4.1096,2012,766.25
Albania,Maize,17.41,1485.0,6.9533,2013,982.32
Albania,Potatoes,17.41,1485.0,26.011,2013,982.32
Albania,Soybeans,17.41,1485.0,1.0,2013,982.32
Albania,Wheat,17.41,1485.0,4.1292,2013,982.32
Algeria,Maize,17.48,89.0,1.65,1990,1828.92
Algeria,Potatoes,17.48,89.0,7.8936,1990,1828.92
Algeria,"Rice, paddy",17.48,89.0,2.8,1990,1828.92
Algeria,Sorghum,17.48,89.0,1.6571,1990,1828.92
Algeria,Wheat,17.48,89.0,0.6315,1990,1828.92
Algeria,Maize,16.26,89.0,1.9231,1991,2461.8
Algeria,Potatoes,16.26,89.0,9.0747,1991,2461.8
Algeria,"Rice, paddy",16.26,89.0,2.6786,1991,2461.8
Algeria,Sorghum,16.26,89.0,2.4231,1991,2461.8
Algeria,Wheat,16.26,89.0,1.0809,1991,2461.8
Algeria,Maize,16.27,89.0,2.2828,1992,1215.47
Algeria,Potatoes,16.27,89.0,10.7917,1992,1215.47
Algeria,"Rice, paddy",16.27,89.0,2.4733,1992,1215.47
Algeria,Sorghum,16.27,89.0,4.0,1992,1215.47
Algeria,Wheat,16.27,89.0,0.9939,1992,1215.47
Algeria,Maize,17.0,89.0,1.25,1993,1021.89
Algeria,Potatoes,17.0,89.0,11.1215,1993,1021.89
Algeria,"Rice, paddy",17.0,89.0,2.3111,1993,1021.89
Algeria,Sorghum,17.0,89.0,5.0,1993,1021.89
Algeria,Wheat,17.0,89.0,0.8097,1993,1021.89
Algeria,Maize,17.88,89.0,0.4512,1994,1255.02
Algeria,Potatoes,17.88,89.0,9.5078,1994,1255.02
Algeria,"Rice, paddy",17.88,89.0,2.1374,1994,1255.02
Algeria,Wheat,17.88,89.0,0.7999,1994,1255.02
Algeria,Maize,17.36,89.0,1.6115,1995,2697.09
Algeria,Potatoes,17.36,89.0,13.6768,1995,2697.09
Algeria,"Rice, paddy",17.36,89.0,1.9598,1995,2697.09
Algeria,Sorghum,17.36,89.0,1.2667,1995,2697.09
Algeria,Wheat,17.36,89.0,0.8924,1995,2697.09
Algeria,Maize,16.76,89.0,1.7154,1996,479.77
Algeria,Potatoes,16.76,89.0,13.4629,1996,479.77
Algeria,"Rice, paddy",16.76,89.0,1.7861,1996,479.77
Algeria,Sorghum,16.76,89.0,1.475,1996,479.77
Algeria,Wheat,16.76,89.0,1.309,1996,479.77
Algeria,Maize,17.84,89.0,2.1417,1997,401.22
Algeria,Potatoes,17.84,89.0,14.1042,1997,401.22
Algeria,"Rice, paddy",17.84,89.0,1.5,1997,401.22
Algeria,Sorghum,17.84,89.0,4.0,1997,401.22
Algeria,Wheat,17.84,89.0,0.8016,1997,401.22
Algeria,Maize,17.14,89.0,1.7222,1998,322.84
Algeria,Potatoes,17.14,89.0,16.0256,1998,322.84
Algeria,"Rice, paddy",17.14,89.0,1.5,1998,322.84
Algeria,Sorghum,17.14,89.0,2.45,1998,322.84
Algeria,Wheat,17.14,89.0,0.8847,1998,322.84
Algeria,Maize,17.97,89.0,2.2375,1999,654.45
Algeria,Potatoes,17.97,89.0,15.3532,1999,654.45
Algeria,"Rice, paddy",17.97,89.0,1.3942,1999,654.45
Algeria,Sorghum,17.97,89.0,2.7,1999,654.45
Algeria,Wheat,17.97,89.0,1.0711,1999,654.45
Algeria,Maize,17.9,89.0,3.6186,2000,603.67
Algeria,Potatoes,17.9,89.0,16.6143,2000,603.67
Algeria,"Rice, paddy",17.9,89.0,1.3052,2000,603.67
Algeria,Sorghum,17.9,89.0,6.95,2000,603.67
Algeria,Wheat,17.9,89.0,0.9194,2000,603.67
Algeria,Maize,18.13,89.0,2.7175,2001,710.11
Algeria,Potatoes,18.13,89.0,14.7018,2001,710.11
Algeria,"Rice, paddy",18.13,89.0,1.2314,2001,710.11
Algeria,Sorghum,18.13,89.0,2.775,2001,710.11
Algeria,Wheat,18.13,89.0,1.1104,2001,710.11
Algeria,Maize,17.85,89.0,3.348,2002,816.55
Algeria,Potatoes,17.85,89.0,18.3774,2002,816.55
Algeria,"Rice, paddy",17.85,89.0,1.2959,2002,816.55
Algeria,Sorghum,17.85,89.0,3.39,2002,816.55
Algeria,Wheat,17.85,89.0,1.0739,2002,816.55
Algeria,Maize,17.38,89.0,3.1729,2004,3747.86
Algeria,Potatoes,17.38,89.0,20.3585,2004,3747.86
Algeria,"Rice, paddy",17.38,89.0,1.2829,2004,3747.86
Algeria,Sorghum,17.38,89.0,4.3316,2004,3747.86
Algeria,Wheat,17.38,89.0,1.3582,2004,3747.86
Algeria,Maize,17.19,89.0,3.3864,2005,3662.87
Algeria,Potatoes,17.19,89.0,21.6267,2005,3662.87
Algeria,"Rice, paddy",17.19,89.0,1.2998,2005,3662.87
Algeria,Sorghum,17.19,89.0,3.3486,2005,3662.87
Algeria,Wheat,17.19,89.0,1.5057,2005,3662.87
Algeria,Maize,18.13,89.0,6.5668,2006,4110.72
Algeria,Potatoes,18.13,89.0,22.0689,2006,4110.72
Algeria,"Rice, paddy",18.13,89.0,1.2769,2006,4110.72
Algeria,Sorghum,18.13,89.0,5.6728,2006,4110.72
Algeria,Wheat,18.13,89.0,1.5068,2006,4110.72
Algeria,Maize,17.42,89.0,8.5625,2007,5390.79
Algeria,Potatoes,17.42,89.0,18.9927,2007,5390.79
Algeria,"Rice, paddy",17.42,89.0,1.3375,2007,5390.79
Algeria,Sorghum,17.42,89.0,11.9059,2007,5390.79
Algeria,Wheat,17.42,89.0,1.2742,2007,5390.79
Algeria,Maize,17.55,89.0,4.4714,2008,11556.12
Algeria,Potatoes,17.55,89.0,23.6393,2008,11556.12
Algeria,"Rice, paddy",17.55,89.0,1.3952,2008,11556.12
Algeria,Sorghum,17.55,89.0,6.1786,2008,11556.12
Algeria,Wheat,17.55,89.0,1.1038,2008,11556.12
Algeria,Maize,17.78,89.0,3.0914,2009,3867.99
Algeria,Potatoes,17.78,89.0,25.0764,2009,3867.99
Algeria,"Rice, paddy",17.78,89.0,1.4594,2009,3867.99
Algeria,Sorghum,17.78,89.0,9.0465,2009,3867.99
Algeria,Wheat,17.78,89.0,1.5975,2009,3867.99
Algeria,Maize,17.59,89.0,2.5827,2010,1295.88
Algeria,Potatoes,17.59,89.0,27.0526,2010,1295.88
Algeria,"Rice, paddy",17.59,89.0,1.5305,2010,1295.88
Algeria,Sorghum,17.59,89.0,3.0286,2010,1295.88
Algeria,Wheat,17.59,89.0,1.4838,2010,1295.88
Algeria,Maize,17.79,89.0,2.3374,2011,13861.76
Algeria,Potatoes,17.79,89.0,29.2806,2011,13861.76
Algeria,"Rice, paddy",17.79,89.0,1.6081,2011,13861.76
Algeria,Sorghum,17.79,89.0,10.0,2011,13861.76
Algeria,Wheat,17.79,89.0,1.7405,2011,13861.76
Algeria,Maize,17.91,89.0,2.5583,2012,17379.76
Algeria,Potatoes,17.91,89.0,30.4291,2012,17379.76
Algeria,"Rice, paddy",17.91,89.0,1.6667,2012,17379.76
Algeria,Sorghum,17.91,89.0,20.6,2012,17379.76
Algeria,Wheat,17.91,89.0,1.7639,2012,17379.76
Algeria,Maize,17.65,89.0,3.3649,2013,17278.65
Algeria,Potatoes,17.65,89.0,30.3218,2013,17278.65
Algeria,"Rice, paddy",17.65,89.0,1.7778,2013,17278.65
Algeria,Sorghum,17.65,89.0,6.0,2013,17278.65
Algeria,Wheat,17.65,89.0,1.91,2013,17278.65
Angola,Cassava,24.12,1010.0,4.1177,1990,64.0
Angola,Maize,24.12,1010.0,0.2736,1990,64.0
Angola,Potatoes,24.12,1010.0,4.0,1990,64.0
Angola,"Rice, paddy",24.12,1010.0,0.9512,1990,64.0
Angola,Sweet potatoes,24.12,1010.0,8.9342,1990,64.0
Angola,Wheat,24.12,1010.0,0.7995,1990,64.0
Angola,Cassava,24.02,1010.0,4.0295,1991,79.0
Angola,Maize,24.02,1010.0,0.4013,1991,79.0
Angola,Potatoes,24.02,1010.0,4.0,1991,79.0
Angola,"Rice, paddy",24.02,1010.0,1.0,1991,79.0
Angola,Sweet potatoes,24.02,1010.0,8.3001,1991,79.0
Angola,Wheat,24.02,1010.0,0.8,1991,79.0
Angola,Cassava,23.96,1010.0,4.2295,1992,23.0
Angola,Maize,23.96,1010.0,0.3778,1992,23.0
Angola,Potatoes,23.96,1010.0,4.0,1992,23.0
Angola,"Rice, paddy",23.96,1010.0,0.9106,1992,23.0
Angola,Sweet potatoes,23.96,1010.0,9.0,1992,23.0
Angola,Wheat,23.96,1010.0,0.8,1992,23.0
Angola,Cassava,24.15,1010.0,4.2295,1993,169.0
Angola,Maize,24.15,1010.0,0.2627,1993,169.0
Angola,Potatoes,24.15,1010.0,7.0,1993,169.0
Angola,"Rice, paddy",24.15,1010.0,0.8,1993,169.0
Angola,Sweet potatoes,24.15,1010.0,8.8095,1993,169.0
Angola,Wheat,24.15,1010.0,0.8876,1993,169.0
Angola,Cassava,24.04,1010.0,5.8596,1994,25.5
Angola,Maize,24.04,1010.0,0.2463,1994,25.5
Angola,Potatoes,24.04,1010.0,9.0,1994,25.5
Angola,"Rice, paddy",24.04,1010.0,0.875,1994,25.5
Angola,Sweet potatoes,24.04,1010.0,8.3192,1994,25.5
Angola,Wheat,24.04,1010.0,1.0,1994,25.5
Angola,Cassava,24.56,1010.0,5.1,1995,336.0
Angola,Maize,24.56,1010.0,0.3517,1995,336.0
Angola,Potatoes,24.56,1010.0,7.6738,1995,336.0
Angola,"Rice, paddy",24.56,1010.0,1.4615,1995,336.0
Angola,Sweet potatoes,24.56,1010.0,8.1138,1995,336.0
Angola,Wheat,24.56,1010.0,1.1855,1995,336.0
Angola,Cassava,24.11,1010.0,4.8077,1996,40.0
Angola,Maize,24.11,1010.0,0.6993,1996,40.0
Angola,Potatoes,24.11,1010.0,7.0,1996,40.0
Angola,"Rice, paddy",24.11,1010.0,1.75,1996,40.0
Angola,Sweet potatoes,24.11,1010.0,8.5455,1996,40.0
Angola,Wheat,24.11,1010.0,1.3738,1996,40.0
Angola,Cassava,24.06,1010.0,4.4205,1997,40.0
Angola,Maize,24.06,1010.0,0.5959,1997,40.0
Angola,Potatoes,24.06,1010.0,6.8571,1997,40.0
Angola,"Rice, paddy",24.06,1010.0,2.0,1997,40.0
Angola,Sweet potatoes,24.06,1010.0,7.8098,1997,40.0
Angola,Wheat,24.06,1010.0,1.5509,1997,40.0
Angola,Cassava,24.96,1010.0,5.5728,1998,40.0
Angola,Maize,24.96,1010.0,0.7396,1998,40.0
Angola,Potatoes,24.96,1010.0,6.2724,1998,40.0
Angola,"Rice, paddy",24.96,1010.0,2.0,1998,40.0
Angola,Sweet potatoes,24.96,1010.0,7.6256,1998,40.0
Angola,Wheat,24.96,1010.0,1.7143,1998,40.0
Angola,Cassava,24.37,1010.0,5.9821,1999,40.0
Angola,Maize,24.37,1010.0,0.6361,1999,40.0
Angola,Potatoes,24.37,1010.0,5.4597,1999,40.0
Angola,"Rice, paddy",24.37,1010.0,1.4235,1999,40.0
Angola,Sweet potatoes,24.37,1010.0,8.2865,1999,40.0
Angola,Wheat,24.37,1010.0,1.7391,1999,40.0
Angola,Cassava,24.41,1010.0,8.2992,2000,40.0
Angola,Maize,24.41,1010.0,0.5745,2000,40.0
Angola,Potatoes,24.41,1010.0,2.9885,2000,40.0
Angola,"Rice, paddy",24.41,1010.0,1.3454,2000,40.0
Angola,Sorghum,24.41,1010.0,0.3333,2000,40.0
Angola,Soybeans,24.41,1010.0,0.2333,2000,40.0
Angola,Sweet potatoes,24.41,1010.0,3.4938,2000,40.0
Angola,Wheat,24.41,1010.0,1.7023,2000,40.0
Angola,Cassava,24.43,1010.0,9.4072,2001,40.0
Angola,Maize,24.43,1010.0,0.5754,2001,40.0
Angola,Potatoes,24.43,1010.0,4.2552,2001,40.0
Angola,"Rice, paddy",24.43,1010.0,1.3701,2001,40.0
Angola,Sorghum,24.43,1010.0,0.3571,2001,40.0
Angola,Soybeans,24.43,1010.0,0.25,2001,40.0
Angola,Sweet potatoes,24.43,1010.0,4.4458,2001,40.0
Angola,Wheat,24.43,1010.0,1.6667,2001,40.0
Angola,Cassava,24.79,1010.0,11.0071,2002,40.0
Angola,Maize,24.79,1010.0,0.6706,2002,40.0
Angola,Potatoes,24.79,1010.0,4.2754,2002,40.0
Angola,"Rice, paddy",24.79,1010.0,1.3198,2002,40.0
Angola,Sorghum,24.79,1010.0,0.34,2002,40.0
Angola,Soybeans,24.79,1010.0,0.2857,2002,40.0
Angola,Sweet potatoes,24.79,1010.0,4.219,2002,40.0
Angola,Wheat,24.79,1010.0,1.5455,2002,40.0
Angola,Cassava,24.22,1010.0,12.5605,2004,40.0
Angola,Maize,24.22,1010.0,0.5404,2004,40.0
Angola,Potatoes,24.22,1010.0,2.015,2004,40.0
Angola,"Rice, paddy",24.22,1010.0,1.1584,2004,40.0
Angola,Sorghum,24.22,1010.0,0.3333,2004,40.0
Angola,Soybeans,24.22,1010.0,0.36,2004,40.0
Angola,Sweet potatoes,24.22,1010.0,4.536,2004,40.0
Angola,Wheat,24.22,1010.0,1.2442,2004,40.0
Angola,Cassava,24.41,1010.0,11.7628,2005,40.0
Angola,Maize,24.41,1010.0,0.6736,2005,40.0
Angola,Potatoes,24.41,1010.0,2.3646,2005,40.0
Angola,"Rice, paddy",24.41,1010.0,0.6977,2005,40.0
Angola,Sorghum,24.41,1010.0,0.3333,2005,40.0
Angola,Soybeans,24.41,1010.0,0.3793,2005,40.0
Angola,Sweet potatoes,24.41,1010.0,4.6159,2005,40.0
Angola,Wheat,24.41,1010.0,1.0946,2005,40.0
Angola,Cassava,24.14,1010.0,11.7201,2006,40.0
Angola,Maize,24.14,1010.0,0.4687,2006,40.0
Angola,Potatoes,24.14,1010.0,5.2148,2006,40.0
Angola,"Rice, paddy",24.14,1010.0,0.4947,2006,40.0
Angola,Sorghum,24.14,1010.0,0.4091,2006,40.0
Angola,Soybeans,24.14,1010.0,0.4286,2006,40.0
Angola,Sweet potatoes,24.14,1010.0,4.424,2006,40.0
Angola,Wheat,24.14,1010.0,1.0,2006,40.0
Angola,Cassava,24.24,1010.0,11.5387,2007,40.0
Angola,Maize,24.24,1010.0,0.5091,2007,40.0
Angola,Potatoes,24.24,1010.0,6.2138,2007,40.0
Angola,"Rice, paddy",24.24,1010.0,0.5143,2007,40.0
Angola,Sorghum,24.24,1010.0,0.4031,2007,40.0
Angola,Soybeans,24.24,1010.0,0.6883,2007,40.0
Angola,Sweet potatoes,24.24,1010.0,5.8855,2007,40.0
Angola,Wheat,24.24,1010.0,1.0,2007,40.0
Angola,Cassava,24.27,1010.0,14.8084,2008,40.0
Angola,Maize,24.27,1010.0,0.7946,2008,40.0
Angola,Potatoes,24.27,1010.0,8.5085,2008,40.0
Angola,"Rice, paddy",24.27,1010.0,0.5084,2008,40.0
Angola,Sorghum,24.27,1010.0,0.0929,2008,40.0
Angola,Soybeans,24.27,1010.0,0.8575,2008,40.0
Angola,Sweet potatoes,24.27,1010.0,6.5437,2008,40.0
Angola,Wheat,24.27,1010.0,1.0,2008,40.0
Angola,Cassava,24.33,1010.0,15.1759,2009,40.0
Angola,Maize,24.33,1010.0,0.6614,2009,40.0
Angola,Potatoes,24.33,1010.0,8.6509,2009,40.0
Angola,"Rice, paddy",24.33,1010.0,0.6028,2009,40.0
Angola,Sorghum,24.33,1010.0,0.248,2009,40.0
Angola,Soybeans,24.33,1010.0,0.4449,2009,40.0
Angola,Sweet potatoes,24.33,1010.0,6.6475,2009,40.0
Angola,Wheat,24.33,1010.0,1.0,2009,40.0
Angola,Cassava,24.44,1010.0,15.5782,2010,40.0
Angola,Maize,24.44,1010.0,0.72,2010,40.0
Angola,Potatoes,24.44,1010.0,8.7425,2010,40.0
Angola,"Rice, paddy",24.44,1010.0,0.7403,2010,40.0
Angola,Sorghum,24.44,1010.0,0.2814,2010,40.0
Angola,Soybeans,24.44,1010.0,0.4446,2010,40.0
Angola,Sweet potatoes,24.44,1010.0,6.3001,2010,40.0
Angola,Wheat,24.44,1010.0,1.0526,2010,40.0
Angola,Cassava,24.15,1010.0,13.3649,2011,40.0
Angola,Maize,24.15,1010.0,0.7376,2011,40.0
Angola,Potatoes,24.15,1010.0,8.1366,2011,40.0
Angola,"Rice, paddy",24.15,1010.0,0.8914,2011,40.0
Angola,Sorghum,24.15,1010.0,0.332,2011,40.0
Angola,Soybeans,24.15,1010.0,0.5294,2011,40.0
Angola,Sweet potatoes,24.15,1010.0,6.5512,2011,40.0
Angola,Wheat,24.15,1010.0,1.0959,2011,40.0
Angola,Cassava,24.24,1010.0,10.0073,2012,40.0
Angola,Maize,24.24,1010.0,0.777,2012,40.0
Angola,Potatoes,24.24,1010.0,6.9381,2012,40.0
Angola,"Rice, paddy",24.24,1010.0,0.7703,2012,40.0
Angola,Sorghum,24.24,1010.0,0.0998,2012,40.0
Angola,Soybeans,24.24,1010.0,0.1641,2012,40.0
Angola,Sweet potatoes,24.24,1010.0,5.2954,2012,40.0
Angola,Wheat,24.24,1010.0,1.1258,2012,40.0
Angola,Cassava,24.55,1010.0,14.0517,2013,40.0
Angola,Maize,24.55,1010.0,0.9467,2013,40.0
Angola,Potatoes,24.55,1010.0,6.3303,2013,40.0
Angola,"Rice, paddy",24.55,1010.0,1.2744,2013,40.0
Angola,Sorghum,24.55,1010.0,0.2415,2013,40.0
Angola,Soybeans,24.55,1010.0,0.4405,2013,40.0
Angola,Sweet potatoes,24.55,1010.0,7.3409,2013,40.0
Angola,Wheat,24.55,1010.0,0.9022,2013,40.0
Argentina,Cassava,17.46,591.0,10.0,1990,26156.0
Argentina,Cassava,17.67,591.0,10.0,1990,26156.0
Argentina,Maize,17.46,591.0,3.4608,1990,26156.0
Argentina,Maize,17.67,591.0,3.4608,1990,26156.0
Argentina,Potatoes,17.46,591.0,20.2747,1990,26156.0
Argentina,Potatoes,17.67,591.0,20.2747,1990,26156.0
Argentina,"Rice, paddy",17.46,591.0,3.6709,1990,26156.0
Argentina,"Rice, paddy",17.67,591.0,3.6709,1990,26156.0
Argentina,Sorghum,17.46,591.0,2.8116,1990,26156.0
Argentina,Sorghum,17.67,591.0,2.8116,1990,26156.0
Argentina,Soybeans,17.46,591.0,2.1566,1990,26156.0
Argentina,Soybeans,17.67,591.0,2.1566,1990,26156.0
Argentina,Sweet potatoes,17.46,591.0,13.1864,1990,26156.0
Argentina,Sweet potatoes,17.67,591.0,13.1864,1990,26156.0
Argentina,Wheat,17.46,591.0,1.8947,1990,26156.0
Argentina,Wheat,17.67,591.0,1.8947,1990,26156.0
Argentina,Cassava,17.64,591.0,10.0,1991,26156.0
Argentina,Cassava,17.86,591.0,10.0,1991,26156.0
Argentina,Maize,17.64,591.0,4.0444,1991,26156.0
Argentina,Maize,17.86,591.0,4.0444,1991,26156.0
Argentina,Potatoes,17.64,591.0,20.5692,1991,26156.0
Argentina,Potatoes,17.86,591.0,20.5692,1991,26156.0
Argentina,"Rice, paddy",17.64,591.0,4.0294,1991,26156.0
Argentina,"Rice, paddy",17.86,591.0,4.0294,1991,26156.0
Argentina,Sorghum,17.64,591.0,3.332,1991,26156.0
Argentina,Sorghum,17.86,591.0,3.332,1991,26156.0
Argentina,Soybeans,17.64,591.0,2.275,1991,26156.0
Argentina,Soybeans,17.86,591.0,2.275,1991,26156.0
Argentina,Sweet potatoes,17.64,591.0,13.1364,1991,26156.0
Argentina,Sweet potatoes,17.86,591.0,13.1364,1991,26156.0
Argentina,Wheat,17.64,591.0,1.8972,1991,26156.0
Argentina,Wheat,17.86,591.0,1.8972,1991,26156.0
Argentina,Cassava,17.09,591.0,10.0,1992,26156.0
Argentina,Cassava,17.51,591.0,10.0,1992,26156.0
Argentina,Maize,17.09,591.0,4.5237,1992,26156.0
Argentina,Maize,17.51,591.0,4.5237,1992,26156.0
Argentina,Potatoes,17.09,591.0,19.9039,1992,26156.0
Argentina,Potatoes,17.51,591.0,19.9039,1992,26156.0
Argentina,"Rice, paddy",17.09,591.0,5.2075,1992,26156.0
Argentina,"Rice, paddy",17.51,591.0,5.2075,1992,26156.0
Argentina,Sorghum,17.09,591.0,3.6217,1992,26156.0
Argentina,Sorghum,17.51,591.0,3.6217,1992,26156.0
Argentina,Soybeans,17.09,591.0,2.2915,1992,26156.0
Argentina,Soybeans,17.51,591.0,2.2915,1992,26156.0
Argentina,Sweet potatoes,17.09,591.0,12.7273,1992,26156.0
Argentina,Sweet potatoes,17.51,591.0,12.7273,1992,26156.0
Argentina,Wheat,17.09,591.0,2.1809,1992,26156.0
Argentina,Wheat,17.51,591.0,2.1809,1992,26156.0
Argentina,Cassava,17.32,591.0,10.0,1993,26156.0
Argentina,Cassava,17.53,591.0,10.0,1993,26156.0
Argentina,Maize,17.32,591.0,4.3552,1993,26156.0
Argentina,Maize,17.53,591.0,4.3552,1993,26156.0
Argentina,Potatoes,17.32,591.0,21.0314,1993,26156.0
Argentina,Potatoes,17.53,591.0,21.0314,1993,26156.0
Argentina,"Rice, paddy",17.32,591.0,4.3559,1993,26156.0
Argentina,"Rice, paddy",17.53,591.0,4.3559,1993,26156.0
Argentina,Sorghum,17.32,591.0,3.9529,1993,26156.0
Argentina,Sorghum,17.53,591.0,3.9529,1993,26156.0
Argentina,Soybeans,17.32,591.0,2.1589,1993,26156.0
Argentina,Soybeans,17.53,591.0,2.1589,1993,26156.0
Argentina,Sweet potatoes,17.32,591.0,12.2955,1993,26156.0
Argentina,Sweet potatoes,17.53,591.0,12.2955,1993,26156.0
Argentina,Wheat,17.32,591.0,2.3272,1993,26156.0
Argentina,Wheat,17.53,591.0,2.3272,1993,26156.0
Argentina,Cassava,18.17,591.0,10.0,1994,30195.0
Argentina,Cassava,18.31,591.0,10.0,1994,30195.0
Argentina,Maize,18.17,591.0,4.2371,1994,30195.0
Argentina,Maize,18.31,591.0,4.2371,1994,30195.0
Argentina,Potatoes,18.17,591.0,23.0166,1994,30195.0
